"","Count","Conclusion","Algorithm","Picture","Page","Speaker","Text","before","after","min_count","max_count","combined"
"1",1,"All","All","All",1,"Narrator","In this study you will read a description of a criminal case and give your opinions about it. Although it is based on a real case, some of the facts (and all of the names) have been changed for the purposes of the study.</br></br> As when listening to testimony, you will not be able to go back. Please use the notepad to keep track of relevant information.","<div style='display:grid'>","</div>",1,1,"<div style='display:grid'> In this study you will read a description of a criminal case and give your opinions about it. Although it is based on a real case, some of the facts (and all of the names) have been changed for the purposes of the study.</br></br> As when listening to testimony, you will not be able to go back. Please use the notepad to keep track of relevant information. </div>"
"2",2,"All","All","All",2,"Narrator","In this case, the defendant - Richard Cole - has been charged with willfully discharging a firearm in a place of business. This crime is a felony. </br></br> Mr. Cole has pleaded not guilty to the charge. </br></br> You will now read a summary of the case. This summary was prepared by an objective court clerk. It describes select evidence that was presented at trial.","<div style='display:grid'>","</div>",2,2,"<div style='display:grid'> In this case, the defendant - Richard Cole - has been charged with willfully discharging a firearm in a place of business. This crime is a felony. </br></br> Mr. Cole has pleaded not guilty to the charge. </br></br> You will now read a summary of the case. This summary was prepared by an objective court clerk. It describes select evidence that was presented at trial. </div>"
"3",3,"All","All","All",3,"Narrator","Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot. </br></br> The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.</br></br> As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store. </br></br> Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis. </br></br> Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business.","<div style='display:grid'>","</div>",3,3,"<div style='display:grid'> Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot. </br></br> The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.</br></br> As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store. </br></br> Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis. </br></br> Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. </div>"
"4",4,"All","All","All",4,"Narrator","You will now read a transcript of testimony given by Terry Smith at trial.","<div style='display:grid'>","</div>",4,4,"<div style='display:grid'> You will now read a transcript of testimony given by Terry Smith at trial. </div>"
"5",5,"All","All","All",5,"Court","Your next witness, please","<div style='display:grid'><div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",5,12,"<div style='display:grid'><div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Your next witness, please </div> </div> "
"6",6,"All","All","All",5,"Pros","The People would call Terry Smith.","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",5,12,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> The People would call Terry Smith. </div> </div> "
"7",7,"All","All","All",5,"Court","Hello","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",5,12,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Hello </div> </div> "
"8",8,"All","All","All",5,"Fire","Hi","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",5,12,"<div class='speech-bubble firearms'><div class='left-text'> Hi </div><div class='firearms-image'></div></div><br/>"
"9",9,"All","All","All",5,"Court","Would you raise your right hand for me?<br/> Do you swear the testimony you're about to give will be the truth, the whole truth, and nothing but the truth, under penalty of perjury?","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",5,12,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Would you raise your right hand for me?<br/> Do you swear the testimony you're about to give will be the truth, the whole truth, and nothing but the truth, under penalty of perjury? </div> </div> "
"10",10,"All","All","All",5,"Fire","I do.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",5,12,"<div class='speech-bubble firearms'><div class='left-text'> I do. </div><div class='firearms-image'></div></div><br/>"
"11",11,"All","All","All",5,"Court","Please be seated. State your full name for the record and spell your last name.","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",5,12,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Please be seated. State your full name for the record and spell your last name. </div> </div> "
"12",12,"All","All","All",5,"Fire","My name is Terry Smith, last name S-m-i-t-h.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",5,12,"<div class='speech-bubble firearms'><div class='left-text'> My name is Terry Smith, last name S-m-i-t-h. </div><div class='firearms-image'></div></div><br/></div>"
"13",13,"All","All","All",6,"Pros","Who do you work for?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Who do you work for? </div> </div> "
"14",14,"All","All","All",6,"Fire","The local police department.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> The local police department. </div><div class='firearms-image'></div></div><br/>"
"15",15,"All","All","All",6,"Pros","What do you do for the police department?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What do you do for the police department? </div> </div> "
