"quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10"
"check","evidence_strength","hidden_probability","chances_fixed","visible_probability","numeric_chance","betting"
"check","evidence_strength","hidden_probability","chances_fixed","visible_probability","betting","numeric_chance"
"check","evidence_strength","hidden_probability","betting","chances_fixed","visible_probability","numeric_chance"
"check","evidence_strength","hidden_probability","chances_fixed","betting","visible_probability","numeric_chance"
"check","evidence_strength","chances_fixed","hidden_probability","betting","visible_probability","numeric_chance"
"check","chances_fixed","evidence_strength","hidden_probability","betting","visible_probability","numeric_chance"
"chances_fixed","check","evidence_strength","hidden_probability","betting","visible_probability","numeric_chance"
"check","evidence_strength","betting","hidden_probability","chances_fixed","visible_probability","numeric_chance"
"check","betting","evidence_strength","hidden_probability","chances_fixed","visible_probability","numeric_chance"
"betting","check","evidence_strength","hidden_probability","chances_fixed","visible_probability","numeric_chance"
"betting","check","evidence_strength","hidden_probability","numeric_chance","visible_probability","chances_fixed"
"betting","check","evidence_strength","chances_fixed","hidden_probability","numeric_chance","visible_probability"
"betting","check","chances_fixed","evidence_strength","hidden_probability","numeric_chance","visible_probability"
"betting","chances_fixed","check","evidence_strength","hidden_probability","numeric_chance","visible_probability"
"chances_fixed","betting","check","evidence_strength","hidden_probability","numeric_chance","visible_probability"
"chances_fixed","check","betting","evidence_strength","hidden_probability","numeric_chance","visible_probability"
"check","chances_fixed","betting","evidence_strength","hidden_probability","numeric_chance","visible_probability"
"check","betting","chances_fixed","evidence_strength","hidden_probability","numeric_chance","visible_probability"
"check","betting","evidence_strength","chances_fixed","hidden_probability","numeric_chance","visible_probability"
"check","betting","evidence_strength","hidden_probability","numeric_chance","visible_probability","chances_fixed"
"check","evidence_strength","betting","hidden_probability","numeric_chance","visible_probability","chances_fixed"
"check","evidence_strength","betting","chances_fixed","hidden_probability","numeric_chance","visible_probability"
"check","evidence_strength","chances_fixed","betting","hidden_probability","numeric_chance","visible_probability"
"check","chances_fixed","evidence_strength","betting","hidden_probability","numeric_chance","visible_probability"
